"","participant","block","block_condition","questType","conditionName","log_crowding_distance_deg","questSDAtEndOfTrialsLoop","font","Grade","Skilled reader?","age","ParticipantCode","order","targetEccentricityXDeg","targetEccentricityYDeg","bouma_factor"
"212","krmb05",1,"1_2","Foveal crowding","crowding foveal",-0.614703386,0.094222222,"Sloan.woff2","0","unkown",5.13333333333333,"krmb05",156,0,0,Inf
"213","krmb05",2,"2_1","Foveal crowding","crowding foveal",-0.781459102,0.1018317,"Pelli.woff2","0","unkown",5.13333333333333,"krmb05",156,0,0,Inf
"214","kvcp06",1,"1_2","Foveal crowding","crowding foveal",-0.891788072,0.157604993,"Sloan.woff2","1","unkown",5.81944444444444,"kvcp06",157,0,0,Inf
"215","kvcp06",5,"5_1","Peripheral crowding","crowding -5",-0.406232663,0.180720671,"Sloan.woff2","1","unkown",5.81944444444444,"kvcp06",157,-5,0,0.0784869282988759
"216","kvcp06",5,"5_2","Peripheral crowding","crowding +5",-0.137747012,0.090199649,"Sloan.woff2","1","unkown",5.81944444444444,"kvcp06",157,5,0,0.145640775797966
"217","kvdg07",1,"1_2","Foveal crowding","crowding foveal",-0.830779889,0.095942837,"Sloan.woff2","2","unkown",7.27777777777778,"kvdg07",162,0,0,Inf
"218","kvdg07",2,"2_1","Foveal crowding","crowding foveal",-0.960439037,0.077546434,"Pelli.woff2","2","unkown",7.27777777777778,"kvdg07",162,0,0,Inf
"219","kvdg07",5,"5_2","Peripheral crowding","crowding +5",-0.113763893,0.087100804,"Sloan.woff2","2","unkown",7.27777777777778,"kvdg07",162,5,0,0.153909739340308
"220","krcj09",5,"5_1","Peripheral crowding","crowding -5",-0.475617257,0.169331075,"Sloan.woff2","4","unkown",9.06111111111111,"krcj09",164,-5,0,0.0668979390752183
"221","krcj09",5,"5_2","Peripheral crowding","crowding +5",-0.545435892,0.075984791,"Sloan.woff2","4","unkown",9.06111111111111,"krcj09",164,5,0,0.0569631639505056
"222","krca05",1,"1_2","Foveal crowding","crowding foveal",-0.566759381,0.126164953,"Sloan.woff2","0","unkown",5.12777777777778,"krca05",172,0,0,Inf
"223","krca05",2,"2_1","Foveal crowding","crowding foveal",-0.783932247,0.097714015,"Pelli.woff2","0","unkown",5.12777777777778,"krca05",172,0,0,Inf
"224","krca05",5,"5_1","Peripheral crowding","crowding -5",0.680601185,0.190891261,"Sloan.woff2","0","unkown",5.12777777777778,"krca05",172,-5,0,0.958586217997811
"225","krba07",1,"1_2","Foveal crowding","crowding foveal",-0.791660196,0.096009245,"Sloan.woff2","2","unkown",7.225,"krba07",173,0,0,Inf
"226","krba07",2,"2_1","Foveal crowding","crowding foveal",-0.936546123,0.082844352,"Pelli.woff2","2","unkown",7.225,"krba07",173,0,0,Inf
"227","krba07",5,"5_1","Peripheral crowding","crowding -5",-0.374004255,0.143343389,"Sloan.woff2","2","unkown",7.225,"krba07",173,-5,0,0.0845328946380645
"228","krba07",5,"5_2","Peripheral crowding","crowding +5",-0.128866273,0.074225149,"Sloan.woff2","2","unkown",7.225,"krba07",173,5,0,0.148649592388052
"229","kvst06",1,"1_2","Foveal crowding","crowding foveal",-0.640110562,0.09455019,"Sloan.woff2","1","unkown",5.98888888888889,"kvst06",175,0,0,Inf
"230","kvst06",2,"2_1","Foveal crowding","crowding foveal",-0.964360462,0.097407895,"Pelli.woff2","1","unkown",5.98888888888889,"kvst06",175,0,0,Inf
"231","kvst06",5,"5_1","Peripheral crowding","crowding -5",0.391272544,0.161318569,"Sloan.woff2","1","unkown",5.98888888888889,"kvst06",175,-5,0,0.492382421313725
"232","kvst06",5,"5_2","Peripheral crowding","crowding +5",0.352645718,0.096998441,"Sloan.woff2","1","unkown",5.98888888888889,"kvst06",175,5,0,0.450480206759851
"233","krpo09",1,"1_2","Foveal crowding","crowding foveal",-0.806758907,0.124301171,"Sloan.woff2","4","unkown",9.33333333333333,"krpo09",176,0,0,Inf
"234","krpo09",2,"2_1","Foveal crowding","crowding foveal",-1.088375759,0.086676152,"Pelli.woff2","4","unkown",9.33333333333333,"krpo09",176,0,0,Inf
"235","krpo09",5,"5_1","Peripheral crowding","crowding -5",-0.675738548,0.136284233,"Sloan.woff2","4","unkown",9.33333333333333,"krpo09",176,-5,0,0.0421979591780062
"236","krpo09",5,"5_2","Peripheral crowding","crowding +5",-0.555680982,0.08656348,"Sloan.woff2","4","unkown",9.33333333333333,"krpo09",176,5,0,0.0556351180200349
