"","participant","block","block_condition","questType","conditionName","log_crowding_distance_deg","questSDAtEndOfTrialsLoop","font","Grade","Skilled reader?","age","ParticipantCode","order","targetEccentricityXDeg","targetEccentricityYDeg","bouma_factor"
"38","kvwa05",1,"1_2","Foveal crowding","crowding foveal",-0.508404624,0.091218126,"Sloan.woff2","0","unkown",4.67222222222222,"kvwa05",30,0,0,Inf
"39","kvwa05",2,"2_1","Foveal crowding","crowding foveal",-0.710921766,0.101284694,"Pelli.woff2","0","unkown",4.67222222222222,"kvwa05",30,0,0,Inf
"40","kcpj10",1,"1_2","Foveal crowding","crowding foveal",-0.894251092,0.091335156,"Sloan.woff2","5","unkown",9.89722222222222,"kcpj10",31,0,0,Inf
"41","kcpj10",2,"2_1","Foveal crowding","crowding foveal",-1.205565299,0.081140075,"Pelli.woff2","5","unkown",9.89722222222222,"kcpj10",31,0,0,Inf
"42","kcpj10",5,"5_1","Peripheral crowding","crowding -5",-0.568694601,0.14058596,"Sloan.woff2","5","unkown",9.89722222222222,"kcpj10",31,-5,0,0.0539927433873899
"43","kcpj10",5,"5_2","Peripheral crowding","crowding +5",-0.607545905,0.076124513,"Sloan.woff2","5","unkown",9.89722222222222,"kcpj10",31,5,0,0.0493723831530792
"44","kcsc08",1,"1_2","Foveal crowding","crowding foveal",-1.032351779,0.087549462,"Sloan.woff2","3","unkown",7.65277777777778,"kcsc08",32,0,0,Inf
"45","kcsc08",2,"2_1","Foveal crowding","crowding foveal",-1.157766301,0.080362748,"Pelli.woff2","3","unkown",7.65277777777778,"kcsc08",32,0,0,Inf
"46","kcsc08",5,"5_1","Peripheral crowding","crowding -5",-0.393450851,0.139669812,"Sloan.woff2","3","unkown",7.65277777777778,"kcsc08",32,-5,0,0.0808312220346716
"47","kcsc08",5,"5_2","Peripheral crowding","crowding +5",-0.535535031,0.077491192,"Sloan.woff2","3","unkown",7.65277777777778,"kcsc08",32,5,0,0.058276701798759
"48","kria09",1,"1_2","Foveal crowding","crowding foveal",-0.865620114,0.095716892,"Sloan.woff2","-1","unkown",NA,"kria09",34,0,0,Inf
"49","kria09",2,"2_1","Foveal crowding","crowding foveal",-1.090575898,0.07875093,"Pelli.woff2","-1","unkown",NA,"kria09",34,0,0,Inf
"50","kria09",5,"5_1","Peripheral crowding","crowding -5",-0.256605349,0.129571831,"Sloan.woff2","-1","unkown",NA,"kria09",34,-5,0,0.110770635337475
"51","kria09",5,"5_2","Peripheral crowding","crowding +5",-0.544059014,0.0744856,"Sloan.woff2","-1","unkown",NA,"kria09",34,5,0,0.0571440453352062
"52","kcge08",1,"1_2","Foveal crowding","crowding foveal",-0.896495199,0.102977761,"Sloan.woff2","3","unkown",7.88333333333333,"kcge08",36,0,0,Inf
"53","kcge08",2,"2_1","Foveal crowding","crowding foveal",-1.180349235,0.080779856,"Pelli.woff2","3","unkown",7.88333333333333,"kcge08",36,0,0,Inf
"54","kcge08",5,"5_2","Peripheral crowding","crowding +5",-0.490167456,0.098256212,"Sloan.woff2","3","unkown",7.88333333333333,"kcge08",36,5,0,0.0646937818384999
"55","kvsj08",1,"1_2","Foveal crowding","crowding foveal",-0.809333197,0.096838225,"Sloan.woff2","3","unkown",7.90833333333333,"kvsj08",38,0,0,Inf
"56","kvsj08",2,"2_1","Foveal crowding","crowding foveal",-0.965200293,0.082861116,"Pelli.woff2","3","unkown",7.90833333333333,"kvsj08",38,0,0,Inf
"57","kvsj08",5,"5_1","Peripheral crowding","crowding -5",-0.261644359,0.140463407,"Sloan.woff2","3","unkown",7.90833333333333,"kvsj08",38,-5,0,0.109492818852319
"58","kvsj08",5,"5_2","Peripheral crowding","crowding +5",-0.667544223,0.078172481,"Sloan.woff2","3","unkown",7.90833333333333,"kvsj08",38,5,0,0.0430017146187806
"59","kcma07",1,"1_2","Foveal crowding","crowding foveal",-0.874314917,0.090815105,"Sloan.woff2","2","unkown",7.61111111111111,"kcma07",39,0,0,Inf
"60","kcma07",2,"2_1","Foveal crowding","crowding foveal",-1.046236694,0.077375007,"Pelli.woff2","2","unkown",7.61111111111111,"kcma07",39,0,0,Inf
"61","kcma07",5,"5_1","Peripheral crowding","crowding -5",0.001046017,0.121592343,"Sloan.woff2","2","unkown",7.61111111111111,"kcma07",39,-5,0,0.200482289204274
"62","kvwo08",1,"1_2","Foveal crowding","crowding foveal",-0.834795963,0.125999199,"Sloan.woff2","3","unkown",7.81111111111111,"kvwo08",40,0,0,Inf
"63","kvwo08",2,"2_1","Foveal crowding","crowding foveal",-1.038157279,0.09050561,"Pelli.woff2","3","unkown",7.81111111111111,"kvwo08",40,0,0,Inf
"64","kvwo08",5,"5_1","Peripheral crowding","crowding -5",0.27011373,0.140564301,"Sloan.woff2","3","unkown",7.81111111111111,"kvwo08",40,-5,0,0.372514966173337
"65","kvwo08",5,"5_2","Peripheral crowding","crowding +5",-0.060829922,0.08936885,"Sloan.woff2","3","unkown",7.81111111111111,"kvwo08",40,5,0,0.173860159480448
"66","krfm08",1,"1_2","Foveal crowding","crowding foveal",-0.932963448,0.157532465,"Sloan.woff2","3","unkown",7.89166666666667,"krfm08",43,0,0,Inf
"67","krfm08",2,"2_1","Foveal crowding","crowding foveal",-1.10730374,0.075403162,"Pelli.woff2","3","unkown",7.89166666666667,"krfm08",43,0,0,Inf
"68","krfm08",5,"5_2","Peripheral crowding","crowding +5",-0.648038253,0.075995277,"Sloan.woff2","3","unkown",7.89166666666667,"krfm08",43,5,0,0.0449771303211782
"69","kcmh10",1,"1_2","Foveal crowding","crowding foveal",-0.984878772,0.09396086,"Sloan.woff2","5","unkown",10.45,"kcmh10",47,0,0,Inf
"70","kcmh10",2,"2_1","Foveal crowding","crowding foveal",-1.22526434,0.081596063,"Pelli.woff2","5","unkown",10.45,"kcmh10",47,0,0,Inf
"71","kcmh10",5,"5_1","Peripheral crowding","crowding -5",-0.699385535,0.137433455,"Sloan.woff2","5","unkown",10.45,"kcmh10",47,-5,0,0.0399617465147819
"72","kcmh10",5,"5_2","Peripheral crowding","crowding +5",-0.833758586,0.081019302,"Sloan.woff2","5","unkown",10.45,"kcmh10",47,5,0,0.029327254614048
"73","kvmc07",1,"1_2","Foveal crowding","crowding foveal",-0.862223632,0.101505113,"Sloan.woff2","2","unkown",7.49722222222222,"kvmc07",48,0,0,Inf
"74","kvmc07",2,"2_1","Foveal crowding","crowding foveal",-1.109652243,0.078750827,"Pelli.woff2","2","unkown",7.49722222222222,"kvmc07",48,0,0,Inf
"75","kvmc07",5,"5_1","Peripheral crowding","crowding -5",-0.603751372,0.131607176,"Sloan.woff2","2","unkown",7.49722222222222,"kvmc07",48,-5,0,0.0498056512997115
"76","kvmc07",5,"5_2","Peripheral crowding","crowding +5",0.015998412,0.09611263,"Sloan.woff2","2","unkown",7.49722222222222,"kvmc07",48,5,0,0.207504924419395
"77","kvbe08",1,"1_2","Foveal crowding","crowding foveal",-0.934006287,0.089086751,"Sloan.woff2","3","unkown",8.60833333333333,"kvbe08",49,0,0,Inf
"78","kvbe08",2,"2_1","Foveal crowding","crowding foveal",-1.070912213,0.078060615,"Pelli.woff2","3","unkown",8.60833333333333,"kvbe08",49,0,0,Inf
"79","kvbe08",5,"5_1","Peripheral crowding","crowding -5",-0.496697138,0.129482248,"Sloan.woff2","3","unkown",8.60833333333333,"kvbe08",49,-5,0,0.0637283769150902
"80","kvbe08",5,"5_2","Peripheral crowding","crowding +5",-0.755635715,0.08100566,"Sloan.woff2","3","unkown",8.60833333333333,"kvbe08",49,5,0,0.0351070453817054
"81","kvkg08",1,"1_2","Foveal crowding","crowding foveal",-0.899835249,0.099913635,"Sloan.woff2","3","unkown",8.39444444444444,"kvkg08",51,0,0,Inf
"82","kvkg08",2,"2_1","Foveal crowding","crowding foveal",-1.025965153,0.084479084,"Pelli.woff2","3","unkown",8.39444444444444,"kvkg08",51,0,0,Inf
"83","kvkg08",5,"5_2","Peripheral crowding","crowding +5",-0.628408305,0.090243018,"Sloan.woff2","3","unkown",8.39444444444444,"kvkg08",51,5,0,0.0470567241658725
"84","kvrm10",1,"1_2","Foveal crowding","crowding foveal",-0.980585462,0.103436509,"Sloan.woff2","5","unkown",10.5277777777778,"kvrm10",53,0,0,Inf
"85","kvrm10",2,"2_1","Foveal crowding","crowding foveal",-1.30164484,0.07912907,"Pelli.woff2","5","unkown",10.5277777777778,"kvrm10",53,0,0,Inf
"86","kvrm10",5,"5_1","Peripheral crowding","crowding -5",-0.579787604,0.129618712,"Sloan.woff2","5","unkown",10.5277777777778,"kvrm10",53,-5,0,0.0526310933000935
"87","kvrm10",5,"5_2","Peripheral crowding","crowding +5",-0.578487613,0.086939681,"Sloan.woff2","5","unkown",10.5277777777778,"kvrm10",53,5,0,0.0527888720764683
"88","kvcl09",1,"1_2","Foveal crowding","crowding foveal",-0.921407316,0.094761294,"Sloan.woff2","4","unkown",9.20555555555556,"kvcl09",56,0,0,Inf
"89","kvcl09",2,"2_1","Foveal crowding","crowding foveal",-1.261387664,0.077452817,"Pelli.woff2","4","unkown",9.20555555555556,"kvcl09",56,0,0,Inf
"90","kvcl09",5,"5_1","Peripheral crowding","crowding -5",-0.568694601,0.14058596,"Sloan.woff2","4","unkown",9.20555555555556,"kvcl09",56,-5,0,0.0539927433873899
"91","kvcl09",5,"5_2","Peripheral crowding","crowding +5",-0.833758586,0.081019302,"Sloan.woff2","4","unkown",9.20555555555556,"kvcl09",56,5,0,0.029327254614048
"92","kcbs09",1,"1_2","Foveal crowding","crowding foveal",-0.891788072,0.157604993,"Sloan.woff2","4","unkown",8.77222222222222,"kcbs09",57,0,0,Inf
"93","kcbs09",2,"2_1","Foveal crowding","crowding foveal",-1.033363519,0.084225618,"Pelli.woff2","4","unkown",8.77222222222222,"kcbs09",57,0,0,Inf
"94","kcbs09",5,"5_1","Peripheral crowding","crowding -5",-0.577338937,0.140092457,"Sloan.woff2","4","unkown",8.77222222222222,"kcbs09",57,-5,0,0.0529286794519782
"95","kcbs09",5,"5_2","Peripheral crowding","crowding +5",-0.516838016,0.078553295,"Sloan.woff2","4","unkown",8.77222222222222,"kcbs09",57,5,0,0.060840388648544
"96","kcwl07",1,"1_2","Foveal crowding","crowding foveal",-0.993464039,0.087198787,"Sloan.woff2","1","unkown",6.6,"kcwl07",58,0,0,Inf
"97","kcwl07",2,"2_1","Foveal crowding","crowding foveal",-1.162054644,0.09907163,"Pelli.woff2","1","unkown",6.6,"kcwl07",58,0,0,Inf
"98","kcwl07",5,"5_1","Peripheral crowding","crowding -5",-0.450572931,0.150734398,"Sloan.woff2","1","unkown",6.6,"kcwl07",58,-5,0,0.0708691240166822
"99","kcwl07",5,"5_2","Peripheral crowding","crowding +5",-0.632233778,0.077925328,"Sloan.woff2","1","unkown",6.6,"kcwl07",58,5,0,0.0466440462885884
"100","krge08",1,"1_2","Foveal crowding","crowding foveal",-0.936346436,0.095580929,"Sloan.woff2","3","unkown",8.13888888888889,"krge08",60,0,0,Inf
